"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"THBS4",0.538469720405943,-0.000799033982822674,2.20261029703498,0.0276222672702979,0.047190685040368,-4.32419528085421
"NUP133",0.538459759116192,-0.0184367301512897,2.202569550381,0.0276251417789268,0.047190685040368,-4.32428373561367
"MCCD1",-0.538341982328288,-0.00223770404374418,-2.2020877844507,0.0276591479441987,0.047236160596577,-4.32532945178116
"RAB40B",-0.538338562605591,-0.0184734456311731,-2.20207379607561,0.0276601358735783,0.047236160596577,-4.32535981138667
"RNF123",0.538011189677706,-0.00800564905827921,2.20073467717141,0.0277548521945989,0.0473907380919582,-4.32826526900861
"STAP2",0.537709118942952,-0.0238043189439374,2.19949905688379,0.0278424959807283,0.0475331944546161,-4.33094460012207
"CNTNAP1",-0.53754866874174,0.00614444088386209,-2.19884273536383,0.0278891464854978,0.0476003490145611,-4.33236716220992
"NAALADL1",0.537544810133486,-0.00122958032646033,2.19882695172744,0.027890269195716,0.0476003490145611,-4.33240136765802
"SUPT5H",0.537234036475883,-0.0242228457991131,2.19755573213543,0.027980820709258,0.0477450044467162,-4.33515548016207
"APCS",-0.537224889598625,-0.000121201296966564,-2.19751831683561,0.0279834897107271,0.0477450044467162,-4.33523651672954
"PAXIP1",0.537015036961262,-0.0224054890301441,2.19665991465922,0.0280447836981107,0.0478423487247933,-4.33709532282994
"CPSF2",0.536915396452637,-0.0195533904927081,2.19625233517614,0.0280739273010481,0.0478848256595201,-4.33797765162561
"ENOSF1",0.536836784361926,-0.0184785743626455,2.19593077243285,0.0280969387722925,0.0479068620158477,-4.33867365568578
"PTPN21",-0.536834024781129,0.00183615996718219,-2.19591948436809,0.0280977468569643,0.0479068620158477,-4.33869808620108
"WBP1",-0.536827749274671,0.00930191100735797,-2.19589381441002,0.0280995845804201,0.0479068620158477,-4.33875364267059
"KLK8",0.536646007309603,-0.00958443819299805,2.19515039893373,0.0281528509784397,0.047990424171285,-4.34036230546966
"RBM4B",0.536629502099253,-0.00751665404750221,2.19508288437368,0.028157692765799,0.0479914271112554,-4.34050837197897
"IRX3",-0.536562693275925,0.0156357969817005,-2.19480960289356,0.0281772984008855,0.0480175891643545,-4.34109956554101
"ATP6V1C2",0.536421872498678,-0.0154321239834463,2.19423357552889,0.0282186620276463,0.0480808160159971,-4.34234545232667
"SPATA9",0.536250509435417,-0.0190133128182195,2.19353261494862,0.0282690674828574,0.0481594275115627,-4.34386111544766
"FXYD1",0.536204689299976,0.0218817681014168,2.19334518769262,0.0282825583492846,0.0481751367534689,-4.34426630094739
"DUOX1",-0.53564132888402,0.0256212255219293,-2.1910407620098,0.0284488830287408,0.048451131654835,-4.34924524326502
"CADPS2",-0.535526151793431,-0.00643393320263353,-2.19056963014092,0.0284829910830682,0.0484972974953722,-4.35026252641508
"CLIC5",0.535520766945562,-0.013713512318203,2.19054760342165,0.0284845865906081,0.0484972974953722,-4.35031008186578
"NAGPA",0.535402278061924,-0.0106002098165167,2.19006292466388,0.0285197138331021,0.0485497783915044,-4.3513563770815
"NR5A2",0.535280308992911,-0.0315034933472435,2.18956401020844,0.0285559117787369,0.0486040658620438,-4.3524331616328
"C1orf50",0.534975906390531,-0.00339596708277085,2.1883188514167,0.0286464249594808,0.0487507711640757,-4.35511946147866
"TCN2",0.534629265513143,-0.0179524864302073,2.18690091696844,0.0287497983390956,0.0489190392086707,-4.35817664589447
"IFT74",0.53461529199392,0.000462712442311629,2.18684375829051,0.0287539721733496,0.0489190392086707,-4.35829984320092
"PAX7",0.534599312050555,-0.0107007827104032,2.18677839233497,0.0287587459579693,0.0489197845083321,-4.35844072616664
"TCF23",0.53453821510739,-0.00263908873025085,2.18652847529965,0.0287770041083942,0.0489434635747682,-4.35897933245951
"TOR1AIP1",0.534506047447127,0.0173602028741823,2.18639689349098,0.02878662107054,0.0489524409252303,-4.35926288499037
"ARL15",0.534420515734469,-0.0139030581568838,2.18604702603533,0.0288122054083374,0.0489885644397635,-4.36001674968628
"SPHK1",0.534222433824198,-0.0116754411213075,2.18523677201604,0.0288715310627891,0.0490820378154964,-4.36176215304769
"PSMD9",0.534050816629417,-0.0116447045348663,2.18453477191084,0.0289230155166556,0.0491621548771355,-4.36327383880116
"HOXB9",0.533962348146216,-0.0504309481908961,2.1841728915958,0.0289495865568101,0.0491999073837156,-4.36405292149081
"HS3ST3B1",0.533494311554554,0.0111812618376727,2.18225838799956,0.0290905087814003,0.0494319594247801,-4.36817245866952
"RAB3D",-0.53342270771958,7.68426436523989e-05,-2.18196549252514,0.0291121201334533,0.0494612334687177,-4.36880237851878
"OR8D1",0.533285544657508,0.000647825821556158,2.18140442704375,0.0291535570511999,0.0495241770865234,-4.37000880592488
"GDI2",0.533192926242785,-0.0193312365182491,2.18102557143454,0.029181565743946,0.0495642941877078,-4.3708232622559
"XAGE3",0.533099196933972,-0.0225058080684353,2.18064217171325,0.0292099339529092,0.0496050097517572,-4.37164734341124
"OCLN",0.532993061226343,-0.0214423732525294,2.18020802361978,0.0292420857423167,0.0496521374613333,-4.37258032844446
"NHLRC2",0.532928259756187,-0.0213703609063364,2.17994295321746,0.0292617310807174,0.0496780186252986,-4.37314987387998
"AP3S1",0.532633786783527,-0.0133109664009916,2.17873841157435,0.0293511471927895,0.0498223249249653,-4.37573714863743
"GAA",0.53247737530632,-0.0023881982064426,2.17809861045423,0.0293987367338097,0.049895599664196,-4.37711081707997
"ZNF117",0.53245371968633,-0.00419096600225531,2.1780018471448,0.0294059399359006,0.0499003188895723,-4.37731853511746
"SLC1A7",-0.532352974253332,-0.00803642815520868,-2.17758974796876,0.0294366342052073,0.0499448937950909,-4.37820306907046
"PSTPIP1",0.532279312927772,0.00429378150751828,2.17728843632946,0.0294590941560682,0.0499754862972362,-4.37884970157302
"QPRT",0.53225216007708,-0.00902665679915553,2.17717736759845,0.0294673770037028,0.0499820226597682,-4.37908803903211
"SNX17",0.531837519421176,-0.000880169882327573,2.17548128006808,0.0295941102405367,0.050189440229066,-4.38272608750656
"SMPDL3B",-0.531807107077879,-0.0247738370115599,-2.17535687838315,0.0296034240744339,0.0501976906870811,-4.38299281316884
"WASL",0.531792390231882,-0.0144798474118511,2.17529667912717,0.0296079320395822,0.0501977907141406,-4.38312187898625
"MAGI3",-0.531708445836575,0.00416886398106501,-2.17495330459287,0.0296336566106996,0.05023385630086,-4.38385799778418
"NDST4",0.531656079586593,-0.00768657080588355,2.17473910045649,0.0296497138635973,0.0502535258409146,-4.38431714505798
"SLC38A5",-0.531454839093513,0.011092586895135,-2.17391592625478,0.0297114906117268,0.0503506681544177,-4.3860812008599
"PRTFDC1",0.531215915669378,-0.00789833332462532,2.17293861003019,0.0297849789358291,0.0504676253691185,-4.38817471465277
"CTSF",-0.531049165323343,0.0261254278325674,-2.17225651776893,0.0298363607386319,0.0505470958279255,-4.38963526999272
"GSK3A",0.530940924245022,-0.0268857429175223,2.17181375765702,0.0298697544964191,0.0505960726592248,-4.39058310106459
"LPIN2",0.530767316533339,-0.0130515113033545,2.17110361534277,0.0299233817939215,0.0506793030292429,-4.39210292251084
"DYNLL2",0.530735558545183,-0.00775178006694392,2.17097370929778,0.0299332007635089,0.0506883242105164,-4.39238088905312
"ITLN2",0.530624304563981,-0.0054029907211305,2.17051862490716,0.0299676202409511,0.0507389944745875,-4.39335452497531
"SLC23A3",0.530603355912037,-0.031206552495896,2.17043293445005,0.0299741050869808,0.0507423597443967,-4.39353783364679
"ZNF185",0.530531177800705,-0.00288094109826754,2.17013768989828,0.0299964577174574,0.050772582122123,-4.39416936414688
"CD2BP2",0.53040527727568,-0.0163369307217271,2.16962269382271,0.0300354817805721,0.0508310095890497,-4.39527073931698
"SLC35A4",0.530342427722373,-0.0186377967313681,2.16936560773591,0.0300549789194847,0.0508555998050495,-4.39582044808449
"CA3",0.530325314665752,-0.012078217615915,2.16929560678081,0.0300602896022366,0.0508555998050495,-4.39597011483028
"GPX5",0.530314862227667,0.00584032616553542,2.16925285108465,0.0300635336966835,0.0508555998050495,-4.39606152700591
"CD151",0.530185932220031,-0.00289467677807832,2.16872546291099,0.0301035741017466,0.0509111591954453,-4.39718894087782
"GAS1",-0.53018004894481,0.0273569370089207,-2.16870139737473,0.0301054023000985,0.0509111591954453,-4.3972403799728
"SEMA6A",0.530067375638155,-0.0154649798918518,2.16824050723359,0.0301404333835262,0.0509627618561856,-4.3982254035679
"GMNN",0.529920444178885,-0.0198546150828954,2.16763948412517,0.0301861682379117,0.0510324447450341,-4.39950960761525
"GPR32",0.529327276886778,0.00229336459575095,2.16521313342067,0.0303714082276613,0.0513379174580827,-4.40469036317132
"PIP",0.529209742823354,-0.0109463029238605,2.16473236035481,0.0304082285913939,0.0513924570396492,-4.4057162233444
"RPP14",0.52907239498602,-0.00840134358350139,2.16417053905025,0.0304513046775979,0.0514575513969354,-4.40691473333607
"PCDHGB1",0.528906581752153,-0.0088189945288207,2.16349228004615,0.0305033781298676,0.0515378280082804,-4.40836122053597
"EFNB3",-0.528785944814335,-0.00103104330592147,-2.16299881467313,0.0305413120700326,0.0515941943533729,-4.40941332317045
"GPR87",0.528642203342512,-0.000637648616849748,2.1624108402078,0.0305865640596764,0.0516629045337319,-4.41066661244173
