"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ALOX15",0.217464332297404,0.00245234902534187,1.62382010686462,0.104414262581217,0.123091226068736,-5.90552659365651
"TAC3",-0.217438764846838,-0.00281950850124375,-1.62362919307259,0.104455026191784,0.123126416686367,-5.90583494808919
"RASSF8",0.217357064132221,0.00766393087491154,1.62301912860023,0.104585370917953,0.123267182708374,-5.90682005075637
"MGAT1",0.217201579564727,-0.00587451118060434,1.62185811536953,0.104833786630879,0.12354706648801,-5.90869377619574
"DMRT3",0.217183795041976,-0.0064717935329116,1.62172531719831,0.104862230565906,0.123567681198446,-5.90890800984239
"ABCG5",0.217049710631853,-0.0238256802024515,1.62072410031426,0.105076877688384,0.123807687025692,-5.91052263563964
"KCNT2",-0.216827212135837,0.00530900383410139,-1.61906268978426,0.105433830571768,0.124215298145688,-5.91319973137048
"CHRNB2",-0.216779378748834,-0.00259254353245388,-1.61870551481779,0.105510694875569,0.124292876412721,-5.91377490276536
"NAV2",0.216749685336586,0.00356828235831017,1.61848379220545,0.105558432098971,0.124336130010721,-5.91413188663796
"BMPR1B",-0.216151145333398,0.0170609150509652,-1.61401445564036,0.106524345957892,0.125460771966899,-5.92131730188624
"CAPN13",-0.216112659743817,0.0151921290187549,-1.61372708127636,0.106586692300994,0.125521098970057,-5.92177863782351
"FAM20C",0.216006437690095,0.016206392987422,1.61293391439329,0.106758921253581,0.125710802390331,-5.92305152064301
"LIN7B",-0.215883250957669,0.00641485891312315,-1.61201407116705,0.106958932938375,0.12593117196857,-5.92452691134252
"EAF2",0.215877430472103,0.0076596671265949,1.61197060922829,0.106968390689247,0.12593117196857,-5.92459660168159
"GLT8D2",0.215798060884868,0.00354584736317627,1.6113779514335,0.107097425066577,0.126069926658966,-5.92554672895402
"PRG3",0.215690482263288,-0.0105629391945495,1.61057465497129,0.107272516835166,0.126251448674335,-5.92683398670238
"NGRN",0.215687011565463,-0.00480092715376183,1.61054873904819,0.107278169413325,0.126251448674335,-5.92687550547984
"CLC",-0.215677337426637,0.0120467603635222,-1.61047650163355,0.107293926517798,0.126251448674335,-5.92699123038537
"SLC25A18",0.215675826534176,0.0015161866944959,1.6104652197027,0.107296387604201,0.126251448674335,-5.92700930365853
"MAP3K14",0.215665647278691,-0.00537243266865252,1.6103892105496,0.107312969716339,0.126257793254375,-5.92713106446138
"PYGL",0.215631118995861,0.0147900605844697,1.61013138564874,0.107369231766156,0.126307164266995,-5.92754403726576
"ZNF467",-0.215626155403603,0.0110425692822054,-1.61009432218723,0.10737732160321,0.126307164266995,-5.92760339848368
"LRRC49",0.215573929326025,-0.000462306515727046,1.60970434671871,0.107462470766703,0.126394147572262,-5.92822790434314
"TRAPPC1",0.215553435585188,-0.00690400284418639,1.6095513186424,0.107495898276316,0.126420285621396,-5.92847292184073
"HIPK2",0.215206603352226,0.0104605099611852,1.6069615001299,0.108062869105066,0.12707382512897,-5.9326160191145
"ODF4",-0.215111264441137,0.00453568361893818,-1.60624959837039,0.108219134831205,0.127244320373123,-5.93375372456105
"NRL",0.2149947820498,-0.0106494074319963,1.60537981688875,0.108410298562085,0.127455808969053,-5.93514305674542
